Button,Time Start,Time End,Button X,Button Y,Text
Intro,00;00;00;00,00;00;17;00,NULL,NULL,Intro
Segment 1,00;00;17;00,00;00;38;07,960,2764,Keeping Exit Paths Clear
Segment 2,00;00;38;07,00;00;54;14,847,1515,Fire Ladders
Segment 3,00;00;54;14,00;01;14;19,1952,683,Exit Signage
Segment 4,00;01;14;19,00;01;30;08,4049,683,Flashlights
Segment 5,00;01;30;08,00;01;53;19,5158,1517,Lighting the Property
Segment 6,00;01;53;19,00;02;24;07,5048,2758,Hypothetical Example
Closing,00;02;24;07,00;02;44;10,NULL,NULL,Closing
